Day,Unvax_per,Vax_per,Boost_per
1,1,0,0
2,1,0,0
3,1,0,0
4,1,0,0
11,1,0,0
18,1,0,0
25,1,0,0
32,1,0,0
39,1,0,0
46,1,0,0
53,1,0,0
60,1,0,0
67,1,0,0
74,1,0,0
81,1,0,0
88,1,0,0
95,1,0,0
102,1,0,0
109,1,0,0
116,1,0,0
123,1,0,0
130,1,0,0
137,1,0,0
144,1,0,0
151,1,0,0
158,1,0,0
165,1,0,0
172,1,0,0
179,1,0,0
186,1,0,0
193,1,0,0
200,1,0,0
207,1,0,0
214,1,0,0
221,1,0,0
228,1,0,0
235,1,0,0
242,1,0,0
249,1,0,0
256,1,0,0
263,1,0,0
270,1,0,0
277,1,0,0
284,1,0,0
291,1,0,0
298,1,0,0
305,1,0,0
312,1,0,0
319,1,0,0
326,1,0,0
333,1,0,0
340,1,0,0
347,1,0,0
354,1,0,0
361,1,0,0
368,1,0,0
375,1,0,0
382,1,0,0
389,0.879804432833972,0.120195567166028,0
396,1,0,0
403,0.629085405454045,0.370914594545955,0
410,1,0,0
417,0.89069708580369,0.10930291419631,0
424,0.943307880032144,0.056692119967856,0
431,0.903478571975812,0.096521428024188,0
438,0.981210685380972,0.018789314619028,0
445,0.960232828368727,0.039767171631273,0
452,0.931826306655606,0.068173693344394,0
459,0.924849726853494,0.075150273146506,0
466,0.956760293815288,0.043239706184712,0
473,0.922414179074688,0.077585820925312,0
480,0.965144033426041,0.03485596657396,0
487,0.981498196151974,0.018501803848026,0
494,0.88987520263033,0.11012479736967,0
501,0.94527055274193,0.05472944725807,0
508,0.929830579519171,0.070169420480829,0
515,1,0,0
522,0.910705776153096,0.089294223846904,0
529,1,0,0
536,1,0,0
543,0,1,0
550,1,0,0
557,0.981922714143712,0.018077285856288,0
564,1,0,0
571,0.920046937756981,0.079953062243019,0
578,0.917619970350831,0.082380029649169,0
585,0.970210465625915,0.029789534374085,0
592,0.934717738122661,0.065282261877339,0
592,0.925839239641321,0.056817487848413,0.017343272510266
599,0.919393766105413,0.06217328964621,0.018432944248377
606,0.923252230251646,0.062359808300002,0.014387961448352
613,0.914569601435847,0.065849144964535,0.019581253599618
620,0.896942846588667,0.061958307063538,0.041098846347795
627,0.901075705389198,0.063934344084357,0.034989950526446
634,0.900812825417171,0.066197597343825,0.032989577239004
641,0.901430443014512,0.072455626592753,0.026113930392735
648,0.908817986870607,0.073828098631193,0.0173539144982
655,0.910195194668105,0.071241929182228,0.018562876149667
662,0.91746962354022,0.074383690160306,0.008146686299474
669,0.91588544042648,0.073519620829416,0.010594938744104
676,0.901825169168224,0.081786866840947,0.01638796399083
683,0.922891378336924,0.067301702126536,0.009806919536541
690,0.876365321199121,0.100081566713091,0.023553112087788
697,0.89040609536919,0.089921069529684,0.019672835101126
704,0.896637871843572,0.076744104777416,0.026618023379012
711,0.886150098311419,0.096182163006712,0.017667738681869
718,0.923579377642174,0.071106049456443,0.005314572901383
