,Province_State,County,Party,TotalVotes,WinningVotes
143,Arkansas,Drew County,REP,6908,4349
144,Arkansas,Faulkner County,REP,54428,34421
145,Arkansas,Franklin County,REP,7129,5677
146,Arkansas,Fulton County,REP,5119,3961
147,Arkansas,Garland County,REP,44199,29069
148,Arkansas,Grant County,REP,8200,6794
149,Arkansas,Greene County,REP,16100,12670
150,Arkansas,Hempstead County,REP,6848,4470
151,Arkansas,Hot Spring County,REP,12557,9202
152,Arkansas,Howard County,REP,4834,3367
153,Arkansas,Independence County,REP,14512,11250
154,Arkansas,Izard County,REP,5810,4631
155,Arkansas,Jackson County,REP,5091,3593
156,Arkansas,Jefferson County,DEM,25158,14981
157,Arkansas,Johnson County,REP,9498,6938
158,Arkansas,Lafayette County,REP,2679,1757
159,Arkansas,Lawrence County,REP,5857,4569
160,Arkansas,Lee County,DEM,2848,1423
161,Arkansas,Lincoln County,REP,3875,2729
162,Arkansas,Little River County,REP,5177,3715
163,Arkansas,Logan County,REP,8225,6441
164,Arkansas,Lonoke County,REP,30662,22884
165,Arkansas,Madison County,REP,7351,5658
166,Arkansas,Marion County,REP,7503,5783
167,Arkansas,Miller County,REP,16529,11920
168,Arkansas,Mississippi County,REP,12342,7296
169,Arkansas,Monroe County,REP,2816,1545
170,Arkansas,Montgomery County,REP,3873,3046
171,Arkansas,Nevada County,REP,3358,2133
172,Arkansas,Newton County,REP,3998,3192
173,Arkansas,Ouachita County,REP,9629,5294
174,Arkansas,Perry County,REP,4627,3479
175,Arkansas,Phillips County,DEM,6242,3623
176,Arkansas,Pike County,REP,4246,3519
177,Arkansas,Poinsett County,REP,7521,5918
178,Arkansas,Polk County,REP,8490,7035
179,Arkansas,Pope County,REP,24432,18081
180,Arkansas,Prairie County,REP,3495,2786
181,Arkansas,Pulaski County,DEM,169956,101947
182,Arkansas,Randolph County,REP,6812,5355
183,Arkansas,Saline County,REP,56959,39556
184,Arkansas,Scott County,REP,3551,2962
185,Arkansas,Searcy County,REP,4019,3365
186,Arkansas,Sebastian County,REP,47140,31198
187,Arkansas,Sevier County,REP,5202,3884
188,Arkansas,Sharp County,REP,7566,5938
189,Arkansas,St. Francis County,DEM,7108,3604
190,Arkansas,Stone County,REP,5938,4616
191,Arkansas,Union County,REP,16607,10478
192,Arkansas,Van Buren County,REP,7807,6034
193,Arkansas,Washington County,REP,94266,47504
194,Arkansas,White County,REP,30885,24182
195,Arkansas,Woodruff County,REP,2476,1543
196,Arkansas,Yell County,REP,6741,5226
197,California,Alameda County,DEM,769864,617659
198,California,Alpine County,DEM,741,476
199,California,Amador County,REP,22302,13585
200,California,Butte County,DEM,102042,50426
201,California,Calaveras County,REP,27164,16518
202,California,Colusa County,REP,7951,4554
203,California,Contra Costa County,DEM,581230,416386
204,California,Del Norte County,REP,11452,6461
205,California,El Dorado County,REP,116138,61838
206,California,Fresno County,DEM,364809,193025
207,California,Glenn County,REP,11292,7063
208,California,Humboldt County,DEM,68828,44768
209,California,Imperial County,DEM,56718,34678
210,California,Inyo County,DEM,9481,4634
211,California,Kern County,REP,305226,164484
212,California,Kings County,REP,43858,24072
213,California,Lake County,DEM,28800,14941
214,California,Lassen County,REP,11985,8970
215,California,Los Angeles County,DEM,4263443,3028885
216,California,Madera County,REP,53722,29378
217,California,Marin County,DEM,155801,128288
218,California,Mariposa County,REP,10280,5950
219,California,Mendocino County,DEM,43336,28782
220,California,Merced County,DEM,90541,48991
221,California,Modoc County,REP,4338,3109
222,California,Mono County,DEM,6737,4013
223,California,Monterey County,DEM,163883,113953
224,California,Napa County,DEM,72122,49817
225,California,Nevada County,DEM,64738,36359
226,California,Orange County,DEM,1521725,814009
227,California,Placer County,REP,235017,122488
228,California,Plumas County,REP,11256,6445
229,California,Riverside County,DEM,996156,527945
230,California,Sacramento County,DEM,718290,440808
231,California,San Benito County,DEM,28821,17628
232,California,San Bernardino County,DEM,840931,455859
233,California,San Diego County,DEM,1601722,964650
234,California,San Francisco County,DEM,443458,378156
235,California,San Joaquin County,DEM,288443,161137
236,California,San Luis Obispo County,DEM,159681,88310
237,California,San Mateo County,DEM,374138,291410
238,California,Santa Barbara County,DEM,200288,129963
239,California,Santa Clara County,DEM,850522,617967
240,California,Santa Cruz County,DEM,144796,114246
241,California,Shasta County,REP,92900,60789
242,California,Sierra County,REP,1930,1142
243,California,Siskiyou County,REP,23450,13290
244,California,Solano County,DEM,205831,131639
245,California,Sonoma County,DEM,268252,199938
246,California,Stanislaus County,DEM,214876,105841
247,California,Sutter County,REP,42640,24375
248,California,Tehama County,REP,28721,19141
249,California,Trinity County,REP,6258,3188
250,California,Tulare County,REP,146832,77579
251,California,Tuolumne County,REP,30401,17689
252,California,Ventura County,DEM,422698,251388
253,California,Yolo County,DEM,97264,67598
254,California,Yuba County,REP,29787,17676
255,Colorado,Adams County,DEM,236735,134202
256,Colorado,Alamosa County,REP,7808,3813
257,Colorado,Arapahoe County,DEM,350183,213607
258,Colorado,Archuleta County,REP,9144,5189
259,Colorado,Baca County,REP,2225,1867
260,Colorado,Bent County,REP,2274,1503
261,Colorado,Boulder County,DEM,206111,159089
262,Colorado,Broomfield County,DEM,46632,29077
263,Colorado,Chaffee County,DEM,13717,7160
264,Colorado,Cheyenne County,REP,1136,993
265,Colorado,Clear Creek County,DEM,6548,3604
266,Colorado,Conejos County,REP,4333,2286
267,Colorado,Costilla County,DEM,2094,1311
268,Colorado,Crowley County,REP,1750,1271
269,Colorado,Custer County,REP,3634,2474
270,Colorado,Delta County,REP,19370,13081
271,Colorado,Denver County,DEM,393827,313293
272,Colorado,Dolores County,REP,1449,1089
273,Colorado,Douglas County,REP,231599,121270
274,Colorado,Eagle County,DEM,29140,18588
275,Colorado,El Paso County,REP,378849,202828
276,Colorado,Elbert County,REP,18983,14027
277,Colorado,Fremont County,REP,25557,17517
278,Colorado,Garfield County,DEM,30904,15427
279,Colorado,Gilpin County,DEM,4186,2223
280,Colorado,Grand County,REP,9870,4883
281,Colorado,Gunnison County,DEM,11190,7132
282,Colorado,Hinsdale County,REP,632,353
283,Colorado,Huerfano County,REP,4406,2203
284,Colorado,Jackson County,REP,876,681
285,Colorado,Jefferson County,DEM,377357,218396
286,Colorado,Kiowa County,REP,903,795
